Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),77093,82409,159502,Lewe,MMR018007
 Associate Scrutiny Card (blue),57,57,114,Lewe,MMR018007
 Naturalised Scrutiny Card (green),338,134,472,Lewe,MMR018007
 National Registration Card (3-fold),862,1258,2120,Lewe,MMR018007
 Religious card,909,67,976,Lewe,MMR018007
 Temporary Registration Card (white),273,201,474,Lewe,MMR018007
 Foreign Registration Card (FRC),4,5,9,Lewe,MMR018007
 Foreign Passport,28,38,66,Lewe,MMR018007
 None,29367,33585,62952,Lewe,MMR018007
 Child under 10 years,29204,28504,57708,Lewe,MMR018007
 Total,138135,146258,284393,Lewe,MMR018007
