Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),23193,24062,47255,Kyarinseikkyi,MMR003007
 Associate Scrutiny Card (blue),28,21,49,Kyarinseikkyi,MMR003007
 Naturalised Scrutiny Card (green),148,62,210,Kyarinseikkyi,MMR003007
 National Registration Card (3-fold),1011,995,2006,Kyarinseikkyi,MMR003007
 Religious card,306,37,343,Kyarinseikkyi,MMR003007
 Temporary Registration Card (white),312,366,678,Kyarinseikkyi,MMR003007
 Foreign Registration Card (FRC),2,4,6,Kyarinseikkyi,MMR003007
 Foreign Passport,17,14,31,Kyarinseikkyi,MMR003007
 None,14643,17059,31702,Kyarinseikkyi,MMR003007
 Child under 10 years,12146,12001,24147,Kyarinseikkyi,MMR003007
 Total,51806,54621,106427,Kyarinseikkyi,MMR003007
