Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),33654,38593,72247,Salingyi,MMR005018
 Associate Scrutiny Card (blue),4,13,17,Salingyi,MMR005018
 Naturalised Scrutiny Card (green),88,71,159,Salingyi,MMR005018
 National Registration Card (3-fold),1285,2578,3863,Salingyi,MMR005018
 Religious card,468,23,491,Salingyi,MMR005018
 Temporary Registration Card (white),57,31,88,Salingyi,MMR005018
 Foreign Passport,435,53,488,Salingyi,MMR005018
 None,9979,15118,25097,Salingyi,MMR005018
 Child under 10 years,9759,9599,19358,Salingyi,MMR005018
 Total,55729,66079,121808,Salingyi,MMR005018
