Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),35051,39018,74069,Kyukme,MMR015012
 Associate Scrutiny Card (blue),182,185,367,Kyukme,MMR015012
 Naturalised Scrutiny Card (green),357,300,657,Kyukme,MMR015012
 National Registration Card (3-fold),1118,1519,2637,Kyukme,MMR015012
 Religious card,404,73,477,Kyukme,MMR015012
 Temporary Registration Card (white),121,127,248,Kyukme,MMR015012
 Foreign Registration Card (FRC),38,51,89,Kyukme,MMR015012
 Foreign Passport,14,9,23,Kyukme,MMR015012
 None,12305,12833,25138,Kyukme,MMR015012
 Child under 10 years,12054,11801,23855,Kyukme,MMR015012
 Total,61644,65916,127560,Kyukme,MMR015012
