Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),76704,86289,162993,Pyay,MMR008001
 Associate Scrutiny Card (blue),114,133,247,Pyay,MMR008001
 Naturalised Scrutiny Card (green),511,351,862,Pyay,MMR008001
 National Registration Card (3-fold),940,1589,2529,Pyay,MMR008001
 Religious card,1998,812,2810,Pyay,MMR008001
 Temporary Registration Card (white),793,1484,2277,Pyay,MMR008001
 Foreign Registration Card (FRC),44,60,104,Pyay,MMR008001
 Foreign Passport,67,25,92,Pyay,MMR008001
 None,21863,25077,46940,Pyay,MMR008001
 Child under 10 years,16636,16153,32789,Pyay,MMR008001
 Total,119670,131973,251643,Pyay,MMR008001
