Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),50364,52091,102455,Kangyidaunt,MMR017002
 Associate Scrutiny Card (blue),49,44,93,Kangyidaunt,MMR017002
 Naturalised Scrutiny Card (green),65,43,108,Kangyidaunt,MMR017002
 National Registration Card (3-fold),123,175,298,Kangyidaunt,MMR017002
 Religious card,448,26,474,Kangyidaunt,MMR017002
 Temporary Registration Card (white),95,48,143,Kangyidaunt,MMR017002
 Foreign Registration Card (FRC),6,10,16,Kangyidaunt,MMR017002
 Foreign Passport,14,11,25,Kangyidaunt,MMR017002
 None,18148,21454,39602,Kangyidaunt,MMR017002
 Child under 10 years,17585,17191,34776,Kangyidaunt,MMR017002
 Total,86897,91093,177990,Kangyidaunt,MMR017002
