Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),62856,64767,127623,Nyaungdon,MMR017021
 Associate Scrutiny Card (blue),21,30,51,Nyaungdon,MMR017021
 Naturalised Scrutiny Card (green),120,77,197,Nyaungdon,MMR017021
 National Registration Card (3-fold),460,668,1128,Nyaungdon,MMR017021
 Religious card,799,85,884,Nyaungdon,MMR017021
 Temporary Registration Card (white),87,66,153,Nyaungdon,MMR017021
 Foreign Registration Card (FRC),23,17,40,Nyaungdon,MMR017021
 Foreign Passport,17,16,33,Nyaungdon,MMR017021
 None,20892,24261,45153,Nyaungdon,MMR017021
 Child under 10 years,20438,20206,40644,Nyaungdon,MMR017021
 Total,105713,110193,215906,Nyaungdon,MMR017021
