Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),294,245,539,Mawhtike(ST),MMR015023
 Associate Scrutiny Card (blue),1,1,2,Mawhtike(ST),MMR015023
 Naturalised Scrutiny Card (green),51,18,69,Mawhtike(ST),MMR015023
 National Registration Card (3-fold),4895,4115,9010,Mawhtike(ST),MMR015023
 Religious card,3,2,5,Mawhtike(ST),MMR015023
 Temporary Registration Card (white),11,6,17,Mawhtike(ST),MMR015023
 Foreign Registration Card (FRC),5,1,6,Mawhtike(ST),MMR015023
 Foreign Passport,34,40,74,Mawhtike(ST),MMR015023
 None,5587,5664,11251,Mawhtike(ST),MMR015023
 Child under 10 years,2718,2599,5317,Mawhtike(ST),MMR015023
 Total,13599,12691,26290,Mawhtike(ST),MMR015023
