Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14862,14707,29569,Mongkai,MMR014016
 Associate Scrutiny Card (blue),9,9,18,Mongkai,MMR014016
 Naturalised Scrutiny Card (green),92,62,154,Mongkai,MMR014016
 National Registration Card (3-fold),171,165,336,Mongkai,MMR014016
 Religious card,239,3,242,Mongkai,MMR014016
 Temporary Registration Card (white),8,6,14,Mongkai,MMR014016
 Foreign Registration Card (FRC),2,-,2,Mongkai,MMR014016
 Foreign Passport,1,3,4,Mongkai,MMR014016
 None,11590,15861,27451,Mongkai,MMR014016
 Child under 10 years,8148,8356,16504,Mongkai,MMR014016
 Total,35122,39172,74294,Mongkai,MMR014016
