Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),89051,98894,187945,Myitkyina,MMR001001
 Associate Scrutiny Card (blue),571,582,1153,Myitkyina,MMR001001
 Naturalised Scrutiny Card (green),878,807,1685,Myitkyina,MMR001001
 National Registration Card (3-fold),596,851,1447,Myitkyina,MMR001001
 Religious card,751,81,832,Myitkyina,MMR001001
 Temporary Registration Card (white),865,1053,1918,Myitkyina,MMR001001
 Foreign Registration Card (FRC),188,170,358,Myitkyina,MMR001001
 Foreign Passport,84,25,109,Myitkyina,MMR001001
 None,26398,27707,54105,Myitkyina,MMR001001
 Child under 10 years,29103,28294,57397,Myitkyina,MMR001001
 Total,148485,158464,306949,Myitkyina,MMR001001
