Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),341,208,549,Kongyan,MMR015023
 Associate Scrutiny Card (blue),-,3,3,Kongyan,MMR015023
 Naturalised Scrutiny Card (green),53,33,86,Kongyan,MMR015023
 National Registration Card (3-fold),5998,4902,10900,Kongyan,MMR015023
 Religious card,4,-,4,Kongyan,MMR015023
 Temporary Registration Card (white),18,17,35,Kongyan,MMR015023
 Foreign Passport,2,1,3,Kongyan,MMR015023
 None,6474,6630,13104,Kongyan,MMR015023
 Child under 10 years,4582,4506,9088,Kongyan,MMR015023
 Total,17472,16300,33772,Kongyan,MMR015023
