Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29072,28978,58050,Kawthoung,MMR006009
 Associate Scrutiny Card (blue),27,28,55,Kawthoung,MMR006009
 Naturalised Scrutiny Card (green),235,88,323,Kawthoung,MMR006009
 National Registration Card (3-fold),2408,2948,5356,Kawthoung,MMR006009
 Religious card,475,48,523,Kawthoung,MMR006009
 Temporary Registration Card (white),213,153,366,Kawthoung,MMR006009
 Foreign Registration Card (FRC),30,33,63,Kawthoung,MMR006009
 Foreign Passport,145,81,226,Kawthoung,MMR006009
 None,14288,12739,27027,Kawthoung,MMR006009
 Child under 10 years,12614,12377,24991,Kawthoung,MMR006009
 Total,59507,57473,116980,Kawthoung,MMR006009
