Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),40822,46176,86998,Thegon,MMR008005
 Associate Scrutiny Card (blue),7,17,24,Thegon,MMR008005
 Naturalised Scrutiny Card (green),152,115,267,Thegon,MMR008005
 National Registration Card (3-fold),333,525,858,Thegon,MMR008005
 Religious card,498,51,549,Thegon,MMR008005
 Temporary Registration Card (white),533,951,1484,Thegon,MMR008005
 Foreign Registration Card (FRC),6,7,13,Thegon,MMR008005
 Foreign Passport,10,8,18,Thegon,MMR008005
 None,11103,13269,24372,Thegon,MMR008005
 Child under 10 years,8343,8031,16374,Thegon,MMR008005
 Total,61807,69150,130957,Thegon,MMR008005
