Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29874,36767,66641,Chaung Oo,MMR005015
 Associate Scrutiny Card (blue),13,17,30,Chaung Oo,MMR005015
 Naturalised Scrutiny Card (green),100,53,153,Chaung Oo,MMR005015
 National Registration Card (3-fold),193,320,513,Chaung Oo,MMR005015
 Religious card,616,36,652,Chaung Oo,MMR005015
 Temporary Registration Card (white),44,47,91,Chaung Oo,MMR005015
 Foreign Registration Card (FRC),1,1,2,Chaung Oo,MMR005015
 Foreign Passport,3,12,15,Chaung Oo,MMR005015
 None,9311,12218,21529,Chaung Oo,MMR005015
 Child under 10 years,8301,8028,16329,Chaung Oo,MMR005015
 Total,48456,57499,105955,Chaung Oo,MMR005015
