Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),87617,99298,186915,Aungmyetharzan,MMR010001
 Associate Scrutiny Card (blue),247,259,506,Aungmyetharzan,MMR010001
 Naturalised Scrutiny Card (green),603,467,1070,Aungmyetharzan,MMR010001
 National Registration Card (3-fold),847,1048,1895,Aungmyetharzan,MMR010001
 Religious card,3581,807,4388,Aungmyetharzan,MMR010001
 Temporary Registration Card (white),400,524,924,Aungmyetharzan,MMR010001
 Foreign Registration Card (FRC),82,79,161,Aungmyetharzan,MMR010001
 Foreign Passport,176,161,337,Aungmyetharzan,MMR010001
 None,18826,16173,34999,Aungmyetharzan,MMR010001
 Child under 10 years,17580,17004,34584,Aungmyetharzan,MMR010001
 Total,129959,135820,265779,Aungmyetharzan,MMR010001
