Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),598,319,917,Naphang,MMR015006
 Associate Scrutiny Card (blue),11,7,18,Naphang,MMR015006
 Naturalised Scrutiny Card (green),55,31,86,Naphang,MMR015006
 National Registration Card (3-fold),2,1,3,Naphang,MMR015006
 Religious card,3,3,6,Naphang,MMR015006
 Temporary Registration Card (white),473,357,830,Naphang,MMR015006
 Foreign Registration Card (FRC),1,1,2,Naphang,MMR015006
 Foreign Passport,18,18,36,Naphang,MMR015006
 None,42946,41181,84127,Naphang,MMR015006
 Child under 10 years,15262,14893,30155,Naphang,MMR015006
 Total,59369,56811,116180,Naphang,MMR015006
