Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),42698,46400,89098,Kawlin,MMR005024
 Associate Scrutiny Card (blue),64,62,126,Kawlin,MMR005024
 Naturalised Scrutiny Card (green),74,42,116,Kawlin,MMR005024
 National Registration Card (3-fold),104,178,282,Kawlin,MMR005024
 Religious card,579,58,637,Kawlin,MMR005024
 Temporary Registration Card (white),139,189,328,Kawlin,MMR005024
 Foreign Registration Card (FRC),4,2,6,Kawlin,MMR005024
 Foreign Passport,8,9,17,Kawlin,MMR005024
 None,13534,16431,29965,Kawlin,MMR005024
 Child under 10 years,12578,12144,24722,Kawlin,MMR005024
 Total,69782,75515,145297,Kawlin,MMR005024
