Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12462,11946,24408,Ngayokaung(ST),MMR017004
 Associate Scrutiny Card (blue),3,3,6,Ngayokaung(ST),MMR017004
 Naturalised Scrutiny Card (green),45,9,54,Ngayokaung(ST),MMR017004
 National Registration Card (3-fold),120,142,262,Ngayokaung(ST),MMR017004
 Religious card,62,2,64,Ngayokaung(ST),MMR017004
 Temporary Registration Card (white),28,18,46,Ngayokaung(ST),MMR017004
 Foreign Registration Card (FRC),-,1,1,Ngayokaung(ST),MMR017004
 Foreign Passport,4,4,8,Ngayokaung(ST),MMR017004
 None,4340,4465,8805,Ngayokaung(ST),MMR017004
 Child under 10 years,3851,3689,7540,Ngayokaung(ST),MMR017004
 Total,20915,20279,41194,Ngayokaung(ST),MMR017004
