Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36999,45112,82111,Zabuthiri,MMR018002
 Associate Scrutiny Card (blue),19,24,43,Zabuthiri,MMR018002
 Naturalised Scrutiny Card (green),130,39,169,Zabuthiri,MMR018002
 National Registration Card (3-fold),414,529,943,Zabuthiri,MMR018002
 Religious card,364,2,366,Zabuthiri,MMR018002
 Temporary Registration Card (white),198,219,417,Zabuthiri,MMR018002
 Foreign Registration Card (FRC),1,3,4,Zabuthiri,MMR018002
 Foreign Passport,6,9,15,Zabuthiri,MMR018002
 None,5307,5678,10985,Zabuthiri,MMR018002
 Child under 10 years,7809,7597,15406,Zabuthiri,MMR018002
 Total,51247,59212,110459,Zabuthiri,MMR018002
