Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),37690,47199,84889,Yenangyoung,MMR009002
 Associate Scrutiny Card (blue),26,37,63,Yenangyoung,MMR009002
 Naturalised Scrutiny Card (green),103,96,199,Yenangyoung,MMR009002
 National Registration Card (3-fold),517,964,1481,Yenangyoung,MMR009002
 Religious card,674,60,734,Yenangyoung,MMR009002
 Temporary Registration Card (white),32,45,77,Yenangyoung,MMR009002
 Foreign Registration Card (FRC),10,17,27,Yenangyoung,MMR009002
 Foreign Passport,67,14,81,Yenangyoung,MMR009002
 None,9446,13991,23437,Yenangyoung,MMR009002
 Child under 10 years,11663,11576,23239,Yenangyoung,MMR009002
 Total,60228,73999,134227,Yenangyoung,MMR009002
