Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),86961,99838,186799,Chanmyatharzi,MMR010004
 Associate Scrutiny Card (blue),134,148,282,Chanmyatharzi,MMR010004
 Naturalised Scrutiny Card (green),420,230,650,Chanmyatharzi,MMR010004
 National Registration Card (3-fold),1305,1821,3126,Chanmyatharzi,MMR010004
 Religious card,3432,19,3451,Chanmyatharzi,MMR010004
 Temporary Registration Card (white),276,412,688,Chanmyatharzi,MMR010004
 Foreign Registration Card (FRC),48,26,74,Chanmyatharzi,MMR010004
 Foreign Passport,132,41,173,Chanmyatharzi,MMR010004
 None,23481,22901,46382,Chanmyatharzi,MMR010004
 Child under 10 years,21339,20817,42156,Chanmyatharzi,MMR010004
 Total,137528,146253,283781,Chanmyatharzi,MMR010004
