Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),64973,77482,142455,Wundwin,MMR010031
 Associate Scrutiny Card (blue),23,37,60,Wundwin,MMR010031
 Naturalised Scrutiny Card (green),517,242,759,Wundwin,MMR010031
 National Registration Card (3-fold),1275,2153,3428,Wundwin,MMR010031
 Religious card,882,100,982,Wundwin,MMR010031
 Temporary Registration Card (white),152,181,333,Wundwin,MMR010031
 Foreign Registration Card (FRC),2,2,4,Wundwin,MMR010031
 Foreign Passport,13,17,30,Wundwin,MMR010031
 None,20240,25493,45733,Wundwin,MMR010031
 Child under 10 years,18137,17839,35976,Wundwin,MMR010031
 Total,106214,123546,229760,Wundwin,MMR010031
