Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),66042,81137,147179,Pyawbwe,MMR010024
 Associate Scrutiny Card (blue),65,62,127,Pyawbwe,MMR010024
 Naturalised Scrutiny Card (green),367,230,597,Pyawbwe,MMR010024
 National Registration Card (3-fold),1048,1562,2610,Pyawbwe,MMR010024
 Religious card,958,64,1022,Pyawbwe,MMR010024
 Temporary Registration Card (white),252,312,564,Pyawbwe,MMR010024
 Foreign Registration Card (FRC),44,43,87,Pyawbwe,MMR010024
 Foreign Passport,23,30,53,Pyawbwe,MMR010024
 None,26963,34767,61730,Pyawbwe,MMR010024
 Child under 10 years,23473,22851,46324,Pyawbwe,MMR010024
 Total,119235,141058,260293,Pyawbwe,MMR010024
