Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36386,43887,80273,Ngazun,MMR010021
 Associate Scrutiny Card (blue),17,21,38,Ngazun,MMR010021
 Naturalised Scrutiny Card (green),88,120,208,Ngazun,MMR010021
 National Registration Card (3-fold),552,1138,1690,Ngazun,MMR010021
 Religious card,577,32,609,Ngazun,MMR010021
 Temporary Registration Card (white),65,96,161,Ngazun,MMR010021
 Foreign Registration Card (FRC),2,1,3,Ngazun,MMR010021
 Foreign Passport,15,26,41,Ngazun,MMR010021
 None,8704,12062,20766,Ngazun,MMR010021
 Child under 10 years,10263,10181,20444,Ngazun,MMR010021
 Total,56669,67564,124233,Ngazun,MMR010021
