Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),38044,38934,76978,Thandwe,MMR012015
 Associate Scrutiny Card (blue),14,18,32,Thandwe,MMR012015
 Naturalised Scrutiny Card (green),166,47,213,Thandwe,MMR012015
 National Registration Card (3-fold),1453,1924,3377,Thandwe,MMR012015
 Religious card,446,22,468,Thandwe,MMR012015
 Temporary Registration Card (white),752,975,1727,Thandwe,MMR012015
 Foreign Registration Card (FRC),3,3,6,Thandwe,MMR012015
 Foreign Passport,260,211,471,Thandwe,MMR012015
 None,13881,16370,30251,Thandwe,MMR012015
 Child under 10 years,10103,9858,19961,Thandwe,MMR012015
 Total,65122,68362,133484,Thandwe,MMR012015
