Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),87109,104697,191806,Sagaing,MMR005001
 Associate Scrutiny Card (blue),36,51,87,Sagaing,MMR005001
 Naturalised Scrutiny Card (green),424,242,666,Sagaing,MMR005001
 National Registration Card (3-fold),1198,1946,3144,Sagaing,MMR005001
 Religious card,4243,2820,7063,Sagaing,MMR005001
 Temporary Registration Card (white),117,125,242,Sagaing,MMR005001
 Foreign Registration Card (FRC),14,12,26,Sagaing,MMR005001
 Foreign Passport,54,49,103,Sagaing,MMR005001
 None,26866,31301,58167,Sagaing,MMR005001
 Child under 10 years,23359,22531,45890,Sagaing,MMR005001
 Total,143420,163774,307194,Sagaing,MMR005001
