Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17469,20624,38093,Htilin,MMR009024
 Associate Scrutiny Card (blue),1,1,2,Htilin,MMR009024
 Naturalised Scrutiny Card (green),3,4,7,Htilin,MMR009024
 National Registration Card (3-fold),7,6,13,Htilin,MMR009024
 Religious card,211,27,238,Htilin,MMR009024
 Temporary Registration Card (white),41,27,68,Htilin,MMR009024
 Foreign Registration Card (FRC),1,-,1,Htilin,MMR009024
 Foreign Passport,4,2,6,Htilin,MMR009024
 None,1553,1598,3151,Htilin,MMR009024
 Child under 10 years,3569,3718,7287,Htilin,MMR009024
 Total,22859,26007,48866,Htilin,MMR009024
