Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),35823,37112,72935,Pobbathiri,MMR018005
 Associate Scrutiny Card (blue),17,16,33,Pobbathiri,MMR018005
 Naturalised Scrutiny Card (green),85,52,137,Pobbathiri,MMR018005
 National Registration Card (3-fold),493,685,1178,Pobbathiri,MMR018005
 Religious card,425,29,454,Pobbathiri,MMR018005
 Temporary Registration Card (white),282,368,650,Pobbathiri,MMR018005
 Foreign Registration Card (FRC),3,-,3,Pobbathiri,MMR018005
 Foreign Passport,49,18,67,Pobbathiri,MMR018005
 None,8374,9461,17835,Pobbathiri,MMR018005
 Child under 10 years,11775,11424,23199,Pobbathiri,MMR018005
 Total,57326,59165,116491,Pobbathiri,MMR018005
