Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),61130,49805,110935,Homalin,MMR005034
 Associate Scrutiny Card (blue),55,39,94,Homalin,MMR005034
 Naturalised Scrutiny Card (green),211,90,301,Homalin,MMR005034
 National Registration Card (3-fold),833,1124,1957,Homalin,MMR005034
 Religious card,562,159,721,Homalin,MMR005034
 Temporary Registration Card (white),516,492,1008,Homalin,MMR005034
 Foreign Registration Card (FRC),41,3,44,Homalin,MMR005034
 Foreign Passport,44,27,71,Homalin,MMR005034
 None,39518,42738,82256,Homalin,MMR005034
 Child under 10 years,30840,29979,60819,Homalin,MMR005034
 Total,133750,124456,258206,Homalin,MMR005034
