Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12944,11711,24655,Minepyin,MMR016007
 Associate Scrutiny Card (blue),4,5,9,Minepyin,MMR016007
 Naturalised Scrutiny Card (green),22,15,37,Minepyin,MMR016007
 National Registration Card (3-fold),31,17,48,Minepyin,MMR016007
 Religious card,108,5,113,Minepyin,MMR016007
 Temporary Registration Card (white),47,60,107,Minepyin,MMR016007
 Foreign Registration Card (FRC),1,-,1,Minepyin,MMR016007
 Foreign Passport,3,-,3,Minepyin,MMR016007
 None,7183,7894,15077,Minepyin,MMR016007
 Child under 10 years,7087,7012,14099,Minepyin,MMR016007
 Total,27430,26719,54149,Minepyin,MMR016007
