Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),22601,28518,51119,Yankin,MMR013010
 Associate Scrutiny Card (blue),94,110,204,Yankin,MMR013010
 Naturalised Scrutiny Card (green),540,654,1194,Yankin,MMR013010
 National Registration Card (3-fold),332,480,812,Yankin,MMR013010
 Religious card,1053,66,1119,Yankin,MMR013010
 Temporary Registration Card (white),218,349,567,Yankin,MMR013010
 Foreign Registration Card (FRC),70,81,151,Yankin,MMR013010
 Foreign Passport,596,288,884,Yankin,MMR013010
 None,3451,3945,7396,Yankin,MMR013010
 Child under 10 years,3769,3731,7500,Yankin,MMR013010
 Total,32724,38222,70946,Yankin,MMR013010
