Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4614,5468,10082,Minengaw(ST),MMR015012
 Associate Scrutiny Card (blue),11,16,27,Minengaw(ST),MMR015012
 Naturalised Scrutiny Card (green),57,39,96,Minengaw(ST),MMR015012
 National Registration Card (3-fold),133,176,309,Minengaw(ST),MMR015012
 Religious card,96,4,100,Minengaw(ST),MMR015012
 Temporary Registration Card (white),15,15,30,Minengaw(ST),MMR015012
 Foreign Registration Card (FRC),4,5,9,Minengaw(ST),MMR015012
 Foreign Passport,4,5,9,Minengaw(ST),MMR015012
 None,1671,2170,3841,Minengaw(ST),MMR015012
 Child under 10 years,2228,2170,4398,Minengaw(ST),MMR015012
 Total,8833,10068,18901,Minengaw(ST),MMR015012
