Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),35346,35350,70696,Zeyarthiri,MMR018001
 Associate Scrutiny Card (blue),13,16,29,Zeyarthiri,MMR018001
 Naturalised Scrutiny Card (green),120,45,165,Zeyarthiri,MMR018001
 National Registration Card (3-fold),356,441,797,Zeyarthiri,MMR018001
 Religious card,344,27,371,Zeyarthiri,MMR018001
 Temporary Registration Card (white),200,213,413,Zeyarthiri,MMR018001
 Foreign Registration Card (FRC),5,1,6,Zeyarthiri,MMR018001
 Foreign Passport,13,9,22,Zeyarthiri,MMR018001
 None,8226,8885,17111,Zeyarthiri,MMR018001
 Child under 10 years,11019,10664,21683,Zeyarthiri,MMR018001
 Total,55642,55651,111293,Zeyarthiri,MMR018001
