Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1800,1575,3375,Panwa(ST),MMR001005
 Naturalised Scrutiny Card (green),4,2,6,Panwa(ST),MMR001005
 National Registration Card (3-fold),11,16,27,Panwa(ST),MMR001005
 Religious card,2,-,2,Panwa(ST),MMR001005
 Temporary Registration Card (white),6,4,10,Panwa(ST),MMR001005
 Foreign Registration Card (FRC),39,20,59,Panwa(ST),MMR001005
 Foreign Passport,16,12,28,Panwa(ST),MMR001005
 None,1471,1446,2917,Panwa(ST),MMR001005
 Child under 10 years,1120,1192,2312,Panwa(ST),MMR001005
 Total,4469,4267,8736,Panwa(ST),MMR001005
