Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),20063,24897,44960,Lamine,MMR011006
 Associate Scrutiny Card (blue),9,10,19,Lamine,MMR011006
 Naturalised Scrutiny Card (green),70,19,89,Lamine,MMR011006
 National Registration Card (3-fold),318,428,746,Lamine,MMR011006
 Religious card,299,25,324,Lamine,MMR011006
 Temporary Registration Card (white),117,74,191,Lamine,MMR011006
 Foreign Registration Card (FRC),2,-,2,Lamine,MMR011006
 Foreign Passport,7,9,16,Lamine,MMR011006
 None,10651,11471,22122,Lamine,MMR011006
 Child under 10 years,10098,9909,20007,Lamine,MMR011006
 Total,41634,46842,88476,Lamine,MMR011006
