Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),21429,16493,37922,Pyinsalu(ST),MMR017016
 Associate Scrutiny Card (blue),7,9,16,Pyinsalu(ST),MMR017016
 Naturalised Scrutiny Card (green),41,20,61,Pyinsalu(ST),MMR017016
 National Registration Card (3-fold),129,92,221,Pyinsalu(ST),MMR017016
 Religious card,136,7,143,Pyinsalu(ST),MMR017016
 Temporary Registration Card (white),28,23,51,Pyinsalu(ST),MMR017016
 Foreign Passport,4,1,5,Pyinsalu(ST),MMR017016
 None,11298,13467,24765,Pyinsalu(ST),MMR017016
 Child under 10 years,11094,11011,22105,Pyinsalu(ST),MMR017016
 Total,44166,41123,85289,Pyinsalu(ST),MMR017016
