Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),63148,75232,138380,Shwebo,MMR005004
 Associate Scrutiny Card (blue),48,65,113,Shwebo,MMR005004
 Naturalised Scrutiny Card (green),230,133,363,Shwebo,MMR005004
 National Registration Card (3-fold),670,1047,1717,Shwebo,MMR005004
 Religious card,1594,162,1756,Shwebo,MMR005004
 Temporary Registration Card (white),198,228,426,Shwebo,MMR005004
 Foreign Registration Card (FRC),1,4,5,Shwebo,MMR005004
 Foreign Passport,22,34,56,Shwebo,MMR005004
 None,25250,31976,57226,Shwebo,MMR005004
 Child under 10 years,17794,17706,35500,Shwebo,MMR005004
 Total,108955,126587,235542,Shwebo,MMR005004
