Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),65682,76441,142123,Dagon Myothit(North),MMR013019
 Associate Scrutiny Card (blue),67,47,114,Dagon Myothit(North),MMR013019
 Naturalised Scrutiny Card (green),345,228,573,Dagon Myothit(North),MMR013019
 National Registration Card (3-fold),1695,2407,4102,Dagon Myothit(North),MMR013019
 Religious card,676,196,872,Dagon Myothit(North),MMR013019
 Temporary Registration Card (white),853,1048,1901,Dagon Myothit(North),MMR013019
 Foreign Registration Card (FRC),28,15,43,Dagon Myothit(North),MMR013019
 Foreign Passport,71,67,138,Dagon Myothit(North),MMR013019
 None,14096,14748,28844,Dagon Myothit(North),MMR013019
 Child under 10 years,12875,12363,25238,Dagon Myothit(North),MMR013019
 Total,96388,107560,203948,Dagon Myothit(North),MMR013019
