Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),94095,101671,195766,Hpa-an,MMR003001
 Associate Scrutiny Card (blue),121,77,198,Hpa-an,MMR003001
 Naturalised Scrutiny Card (green),1335,1861,3196,Hpa-an,MMR003001
 National Registration Card (3-fold),1973,2772,4745,Hpa-an,MMR003001
 Religious card,1680,191,1871,Hpa-an,MMR003001
 Temporary Registration Card (white),873,1053,1926,Hpa-an,MMR003001
 Foreign Registration Card (FRC),7,6,13,Hpa-an,MMR003001
 Foreign Passport,85,58,143,Hpa-an,MMR003001
 None,55611,63498,119109,Hpa-an,MMR003001
 Child under 10 years,48130,46478,94608,Hpa-an,MMR003001
 Total,203910,217665,421575,Hpa-an,MMR003001
