Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),67589,64812,132401,Pantanaw,MMR017020
 Associate Scrutiny Card (blue),76,71,147,Pantanaw,MMR017020
 Naturalised Scrutiny Card (green),229,163,392,Pantanaw,MMR017020
 National Registration Card (3-fold),576,762,1338,Pantanaw,MMR017020
 Religious card,699,60,759,Pantanaw,MMR017020
 Temporary Registration Card (white),141,117,258,Pantanaw,MMR017020
 Foreign Registration Card (FRC),10,18,28,Pantanaw,MMR017020
 Foreign Passport,16,29,45,Pantanaw,MMR017020
 None,33154,44854,78008,Pantanaw,MMR017020
 Child under 10 years,25632,25588,51220,Pantanaw,MMR017020
 Total,128122,136474,264596,Pantanaw,MMR017020
