Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3933,3623,7556,Pansaung(ST),MMR005037
 Associate Scrutiny Card (blue),5,5,10,Pansaung(ST),MMR005037
 Naturalised Scrutiny Card (green),1,2,3,Pansaung(ST),MMR005037
 National Registration Card (3-fold),11,28,39,Pansaung(ST),MMR005037
 Religious card,4,-,4,Pansaung(ST),MMR005037
 Temporary Registration Card (white),16,9,25,Pansaung(ST),MMR005037
 Foreign Passport,6,3,9,Pansaung(ST),MMR005037
 None,1922,1881,3803,Pansaung(ST),MMR005037
 Child under 10 years,2174,2074,4248,Pansaung(ST),MMR005037
 Total,8072,7625,15697,Pansaung(ST),MMR005037
