Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4171,3874,8045,Tontar(ST),MMR016007
 Associate Scrutiny Card (blue),-,1,1,Tontar(ST),MMR016007
 Naturalised Scrutiny Card (green),5,2,7,Tontar(ST),MMR016007
 National Registration Card (3-fold),21,31,52,Tontar(ST),MMR016007
 Religious card,9,-,9,Tontar(ST),MMR016007
 Temporary Registration Card (white),5,6,11,Tontar(ST),MMR016007
 Foreign Passport,1,-,1,Tontar(ST),MMR016007
 None,1347,1222,2569,Tontar(ST),MMR016007
 Child under 10 years,2003,1986,3989,Tontar(ST),MMR016007
 Total,7562,7122,14684,Tontar(ST),MMR016007
