Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8588,10638,19226,Dagon,MMR013043
 Associate Scrutiny Card (blue),51,61,112,Dagon,MMR013043
 Naturalised Scrutiny Card (green),78,88,166,Dagon,MMR013043
 National Registration Card (3-fold),48,87,135,Dagon,MMR013043
 Religious card,395,23,418,Dagon,MMR013043
 Temporary Registration Card (white),35,39,74,Dagon,MMR013043
 Foreign Registration Card (FRC),9,15,24,Dagon,MMR013043
 Foreign Passport,505,212,717,Dagon,MMR013043
 None,843,919,1762,Dagon,MMR013043
 Child under 10 years,1294,1154,2448,Dagon,MMR013043
 Total,11846,13236,25082,Dagon,MMR013043
