Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),26467,30499,56966,Namkham,MMR015010
 Associate Scrutiny Card (blue),56,61,117,Namkham,MMR015010
 Naturalised Scrutiny Card (green),287,158,445,Namkham,MMR015010
 National Registration Card (3-fold),881,1053,1934,Namkham,MMR015010
 Religious card,226,89,315,Namkham,MMR015010
 Temporary Registration Card (white),669,609,1278,Namkham,MMR015010
 Foreign Registration Card (FRC),26,4,30,Namkham,MMR015010
 Foreign Passport,137,26,163,Namkham,MMR015010
 None,11602,12309,23911,Namkham,MMR015010
 Child under 10 years,10964,10911,21875,Namkham,MMR015010
 Total,51315,55719,107034,Namkham,MMR015010
