Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7992,7654,15646,Mineyan,MMR016003
 Associate Scrutiny Card (blue),23,17,40,Mineyan,MMR016003
 Naturalised Scrutiny Card (green),19,14,33,Mineyan,MMR016003
 National Registration Card (3-fold),80,85,165,Mineyan,MMR016003
 Religious card,74,1,75,Mineyan,MMR016003
 Temporary Registration Card (white),136,134,270,Mineyan,MMR016003
 Foreign Registration Card (FRC),123,82,205,Mineyan,MMR016003
 Foreign Passport,16,14,30,Mineyan,MMR016003
 None,13036,12254,25290,Mineyan,MMR016003
 Child under 10 years,5481,5356,10837,Mineyan,MMR016003
 Total,26980,25611,52591,Mineyan,MMR016003
