Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13383,12708,26091,Buthidaung,MMR012010
 Associate Scrutiny Card (blue),5,11,16,Buthidaung,MMR012010
 Naturalised Scrutiny Card (green),217,238,455,Buthidaung,MMR012010
 National Registration Card (3-fold),52,33,85,Buthidaung,MMR012010
 Religious card,173,22,195,Buthidaung,MMR012010
 Temporary Registration Card (white),993,248,1241,Buthidaung,MMR012010
 Foreign Registration Card (FRC),60,4,64,Buthidaung,MMR012010
 Foreign Passport,13,6,19,Buthidaung,MMR012010
 None,6419,8309,14728,Buthidaung,MMR012010
 Child under 10 years,6403,6248,12651,Buthidaung,MMR012010
 Total,27718,27827,55545,Buthidaung,MMR012010
