Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),59818,73443,133261,Myaing,MMR009020
 Associate Scrutiny Card (blue),17,12,29,Myaing,MMR009020
 Naturalised Scrutiny Card (green),139,72,211,Myaing,MMR009020
 National Registration Card (3-fold),701,1145,1846,Myaing,MMR009020
 Religious card,739,31,770,Myaing,MMR009020
 Temporary Registration Card (white),29,43,72,Myaing,MMR009020
 Foreign Registration Card (FRC),1,-,1,Myaing,MMR009020
 Foreign Passport,56,24,80,Myaing,MMR009020
 None,18018,28955,46973,Myaing,MMR009020
 Child under 10 years,21336,21192,42528,Myaing,MMR009020
 Total,100854,124917,225771,Myaing,MMR009020
