Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41908,45897,87805,Thongwa,MMR013025
 Associate Scrutiny Card (blue),35,45,80,Thongwa,MMR013025
 Naturalised Scrutiny Card (green),1406,1510,2916,Thongwa,MMR013025
 National Registration Card (3-fold),530,799,1329,Thongwa,MMR013025
 Religious card,564,14,578,Thongwa,MMR013025
 Temporary Registration Card (white),306,447,753,Thongwa,MMR013025
 Foreign Registration Card (FRC),9,7,16,Thongwa,MMR013025
 Foreign Passport,18,16,34,Thongwa,MMR013025
 None,16604,19889,36493,Thongwa,MMR013025
 Child under 10 years,14112,13760,27872,Thongwa,MMR013025
 Total,75492,82384,157876,Thongwa,MMR013025
