Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),78076,92770,170846,Mahaaungmye,MMR010003
 Associate Scrutiny Card (blue),197,230,427,Mahaaungmye,MMR010003
 Naturalised Scrutiny Card (green),473,309,782,Mahaaungmye,MMR010003
 National Registration Card (3-fold),898,1383,2281,Mahaaungmye,MMR010003
 Religious card,5199,59,5258,Mahaaungmye,MMR010003
 Temporary Registration Card (white),181,207,388,Mahaaungmye,MMR010003
 Foreign Registration Card (FRC),30,27,57,Mahaaungmye,MMR010003
 Foreign Passport,186,113,299,Mahaaungmye,MMR010003
 None,16040,14308,30348,Mahaaungmye,MMR010003
 Child under 10 years,15623,14804,30427,Mahaaungmye,MMR010003
 Total,116903,124210,241113,Mahaaungmye,MMR010003
