Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15582,14701,30283,Mabane,MMR015018
 Associate Scrutiny Card (blue),7,6,13,Mabane,MMR015018
 Naturalised Scrutiny Card (green),37,16,53,Mabane,MMR015018
 National Registration Card (3-fold),59,45,104,Mabane,MMR015018
 Religious card,154,8,162,Mabane,MMR015018
 Temporary Registration Card (white),57,54,111,Mabane,MMR015018
 Foreign Registration Card (FRC),-,1,1,Mabane,MMR015018
 Foreign Passport,4,9,13,Mabane,MMR015018
 None,4039,3801,7840,Mabane,MMR015018
 Child under 10 years,4555,4263,8818,Mabane,MMR015018
 Total,24494,22904,47398,Mabane,MMR015018
