Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),52851,64267,117118,South Okkalapa,MMR013011
 Associate Scrutiny Card (blue),114,111,225,South Okkalapa,MMR013011
 Naturalised Scrutiny Card (green),455,341,796,South Okkalapa,MMR013011
 National Registration Card (3-fold),1062,1476,2538,South Okkalapa,MMR013011
 Religious card,1697,94,1791,South Okkalapa,MMR013011
 Temporary Registration Card (white),542,685,1227,South Okkalapa,MMR013011
 Foreign Registration Card (FRC),40,56,96,South Okkalapa,MMR013011
 Foreign Passport,70,50,120,South Okkalapa,MMR013011
 None,10122,10182,20304,South Okkalapa,MMR013011
 Child under 10 years,8594,8317,16911,South Okkalapa,MMR013011
 Total,75547,85579,161126,South Okkalapa,MMR013011
