Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6990,6310,13300,Ponparkyin(ST),MMR016008
 Associate Scrutiny Card (blue),11,10,21,Ponparkyin(ST),MMR016008
 Naturalised Scrutiny Card (green),17,3,20,Ponparkyin(ST),MMR016008
 National Registration Card (3-fold),32,32,64,Ponparkyin(ST),MMR016008
 Religious card,36,4,40,Ponparkyin(ST),MMR016008
 Temporary Registration Card (white),220,235,455,Ponparkyin(ST),MMR016008
 Foreign Registration Card (FRC),2,1,3,Ponparkyin(ST),MMR016008
 Foreign Passport,15,19,34,Ponparkyin(ST),MMR016008
 None,11248,8453,19701,Ponparkyin(ST),MMR016008
 Child under 10 years,5235,4946,10181,Ponparkyin(ST),MMR016008
 Total,23806,20013,43819,Ponparkyin(ST),MMR016008
