Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),89051,98894,187945,Myitkyina,MMR001001
 Associate Scrutiny Card (blue),571,582,1153,Myitkyina,MMR001001
 Naturalised Scrutiny Card (green),878,807,1685,Myitkyina,MMR001001
 National Registration Card (3-fold),596,851,1447,Myitkyina,MMR001001
 Religious card,751,81,832,Myitkyina,MMR001001
 Temporary Registration Card (white),865,1053,1918,Myitkyina,MMR001001
 Foreign Registration Card (FRC),188,170,358,Myitkyina,MMR001001
 Foreign Passport,84,25,109,Myitkyina,MMR001001
 None,26398,27707,54105,Myitkyina,MMR001001
 Child under 10 years,29103,28294,57397,Myitkyina,MMR001001
 Total,148485,158464,306949,Myitkyina,MMR001001
 Citizenship Scrutiny Card (pink),28365,29195,57560,Waingmaw,MMR001002
 Associate Scrutiny Card (blue),44,44,88,Waingmaw,MMR001002
 Naturalised Scrutiny Card (green),207,171,378,Waingmaw,MMR001002
 National Registration Card (3-fold),303,496,799,Waingmaw,MMR001002
 Religious card,105,32,137,Waingmaw,MMR001002
 Temporary Registration Card (white),224,216,440,Waingmaw,MMR001002
 Foreign Registration Card (FRC),76,69,145,Waingmaw,MMR001002
 Foreign Passport,10,10,20,Waingmaw,MMR001002
 None,11171,11371,22542,Waingmaw,MMR001002
 Child under 10 years,12193,12064,24257,Waingmaw,MMR001002
 Total,52698,53668,106366,Waingmaw,MMR001002
 Citizenship Scrutiny Card (pink),556,441,997,Ingyanyan,MMR001003
 National Registration Card (3-fold),-,1,1,Ingyanyan,MMR001003
 Temporary Registration Card (white),2,-,2,Ingyanyan,MMR001003
 None,174,148,322,Ingyanyan,MMR001003
 Child under 10 years,214,196,410,Ingyanyan,MMR001003
 Total,946,786,1732,Ingyanyan,MMR001003
 Citizenship Scrutiny Card (pink),14040,12259,26299,Tanaing,MMR001004
 Associate Scrutiny Card (blue),9,7,16,Tanaing,MMR001004
 Naturalised Scrutiny Card (green),65,27,92,Tanaing,MMR001004
 National Registration Card (3-fold),311,258,569,Tanaing,MMR001004
 Religious card,53,6,59,Tanaing,MMR001004
 Temporary Registration Card (white),94,93,187,Tanaing,MMR001004
 Foreign Registration Card (FRC),-,1,1,Tanaing,MMR001004
 Foreign Passport,7,6,13,Tanaing,MMR001004
 None,5755,5010,10765,Tanaing,MMR001004
 Child under 10 years,5439,5126,10565,Tanaing,MMR001004
 Total,25773,22793,48566,Tanaing,MMR001004
 Citizenship Scrutiny Card (pink),2589,2154,4743,Chiphwe,MMR001005
 Associate Scrutiny Card (blue),2,2,4,Chiphwe,MMR001005
 Naturalised Scrutiny Card (green),2,2,4,Chiphwe,MMR001005
 National Registration Card (3-fold),25,44,69,Chiphwe,MMR001005
 Religious card,5,2,7,Chiphwe,MMR001005
 Temporary Registration Card (white),46,57,103,Chiphwe,MMR001005
 Foreign Registration Card (FRC),32,1,33,Chiphwe,MMR001005
 Foreign Passport,5,6,11,Chiphwe,MMR001005
 None,1557,1596,3153,Chiphwe,MMR001005
 Child under 10 years,1568,1608,3176,Chiphwe,MMR001005
 Total,5831,5472,11303,Chiphwe,MMR001005
 Citizenship Scrutiny Card (pink),1611,1486,3097,Hsotlaw,MMR001006
 Naturalised Scrutiny Card (green),3,-,3,Hsotlaw,MMR001006
 National Registration Card (3-fold),8,10,18,Hsotlaw,MMR001006
 Religious card,3,-,3,Hsotlaw,MMR001006
 Temporary Registration Card (white),4,1,5,Hsotlaw,MMR001006
 None,732,726,1458,Hsotlaw,MMR001006
 Child under 10 years,990,944,1934,Hsotlaw,MMR001006
 Total,3351,3167,6518,Hsotlaw,MMR001006
 Citizenship Scrutiny Card (pink),3395,3173,6568,Hsinbo(ST),MMR001001
 Associate Scrutiny Card (blue),2,1,3,Hsinbo(ST),MMR001001
 Naturalised Scrutiny Card (green),7,-,7,Hsinbo(ST),MMR001001
 National Registration Card (3-fold),15,14,29,Hsinbo(ST),MMR001001
 Religious card,31,6,37,Hsinbo(ST),MMR001001
 Temporary Registration Card (white),27,19,46,Hsinbo(ST),MMR001001
 Foreign Passport,2,-,2,Hsinbo(ST),MMR001001
 None,919,738,1657,Hsinbo(ST),MMR001001
 Child under 10 years,1164,1142,2306,Hsinbo(ST),MMR001001
 Total,5562,5093,10655,Hsinbo(ST),MMR001001
 Citizenship Scrutiny Card (pink),2583,2687,5270,Hsadone(ST),MMR001002
 Associate Scrutiny Card (blue),5,1,6,Hsadone(ST),MMR001002
