Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),53483,67720,121203,Natogyi,MMR010019
 Associate Scrutiny Card (blue),8,18,26,Natogyi,MMR010019
 Naturalised Scrutiny Card (green),98,55,153,Natogyi,MMR010019
 National Registration Card (3-fold),151,234,385,Natogyi,MMR010019
 Religious card,688,25,713,Natogyi,MMR010019
 Temporary Registration Card (white),35,34,69,Natogyi,MMR010019
 Foreign Registration Card (FRC),1,-,1,Natogyi,MMR010019
 Foreign Passport,20,10,30,Natogyi,MMR010019
 None,11910,13770,25680,Natogyi,MMR010019
 Child under 10 years,14454,14364,28818,Natogyi,MMR010019
 Total,80848,96230,177078,Natogyi,MMR010019
