Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2589,2154,4743,Chiphwe,MMR001005
 Associate Scrutiny Card (blue),2,2,4,Chiphwe,MMR001005
 Naturalised Scrutiny Card (green),2,2,4,Chiphwe,MMR001005
 National Registration Card (3-fold),25,44,69,Chiphwe,MMR001005
 Religious card,5,2,7,Chiphwe,MMR001005
 Temporary Registration Card (white),46,57,103,Chiphwe,MMR001005
 Foreign Registration Card (FRC),32,1,33,Chiphwe,MMR001005
 Foreign Passport,5,6,11,Chiphwe,MMR001005
 None,1557,1596,3153,Chiphwe,MMR001005
 Child under 10 years,1568,1608,3176,Chiphwe,MMR001005
 Total,5831,5472,11303,Chiphwe,MMR001005
