Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7483,6298,13781,Minepan,MMR014021
 Associate Scrutiny Card (blue),7,4,11,Minepan,MMR014021
 Naturalised Scrutiny Card (green),27,9,36,Minepan,MMR014021
 National Registration Card (3-fold),62,57,119,Minepan,MMR014021
 Religious card,81,4,85,Minepan,MMR014021
 Temporary Registration Card (white),12,10,22,Minepan,MMR014021
 Foreign Passport,2,2,4,Minepan,MMR014021
 None,3881,3519,7400,Minepan,MMR014021
 Child under 10 years,2274,2194,4468,Minepan,MMR014021
 Total,13829,12097,25926,Minepan,MMR014021
