Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),55227,61641,116868,Pyinmana,MMR018006
 Associate Scrutiny Card (blue),64,83,147,Pyinmana,MMR018006
 Naturalised Scrutiny Card (green),275,194,469,Pyinmana,MMR018006
 National Registration Card (3-fold),739,1028,1767,Pyinmana,MMR018006
 Religious card,813,153,966,Pyinmana,MMR018006
 Temporary Registration Card (white),508,655,1163,Pyinmana,MMR018006
 Foreign Registration Card (FRC),24,22,46,Pyinmana,MMR018006
 Foreign Passport,11,25,36,Pyinmana,MMR018006
 None,15888,16289,32177,Pyinmana,MMR018006
 Child under 10 years,17182,16744,33926,Pyinmana,MMR018006
 Total,90731,96834,187565,Pyinmana,MMR018006
