Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15203,15570,30773,Shwethaungyan(ST),MMR017001
 Associate Scrutiny Card (blue),6,11,17,Shwethaungyan(ST),MMR017001
 Naturalised Scrutiny Card (green),29,13,42,Shwethaungyan(ST),MMR017001
 National Registration Card (3-fold),43,53,96,Shwethaungyan(ST),MMR017001
 Religious card,83,9,92,Shwethaungyan(ST),MMR017001
 Temporary Registration Card (white),24,16,40,Shwethaungyan(ST),MMR017001
 Foreign Registration Card (FRC),1,1,2,Shwethaungyan(ST),MMR017001
 Foreign Passport,47,41,88,Shwethaungyan(ST),MMR017001
 None,4694,5031,9725,Shwethaungyan(ST),MMR017001
 Child under 10 years,4360,4303,8663,Shwethaungyan(ST),MMR017001
 Total,24490,25048,49538,Shwethaungyan(ST),MMR017001
