Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14023,17513,31536,Hopin(ST),MMR001007
 Associate Scrutiny Card (blue),22,44,66,Hopin(ST),MMR001007
 Naturalised Scrutiny Card (green),59,74,133,Hopin(ST),MMR001007
 National Registration Card (3-fold),73,124,197,Hopin(ST),MMR001007
 Religious card,254,35,289,Hopin(ST),MMR001007
 Temporary Registration Card (white),95,114,209,Hopin(ST),MMR001007
 Foreign Registration Card (FRC),8,5,13,Hopin(ST),MMR001007
 Foreign Passport,-,1,1,Hopin(ST),MMR001007
 None,3576,3487,7063,Hopin(ST),MMR001007
 Child under 10 years,4693,4494,9187,Hopin(ST),MMR001007
 Total,22803,25891,48694,Hopin(ST),MMR001007
