Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6419,4516,10935,Laukine,MMR015022
 Associate Scrutiny Card (blue),13,6,19,Laukine,MMR015022
 Naturalised Scrutiny Card (green),543,84,627,Laukine,MMR015022
 National Registration Card (3-fold),13839,13244,27083,Laukine,MMR015022
 Religious card,25,4,29,Laukine,MMR015022
 Temporary Registration Card (white),570,494,1064,Laukine,MMR015022
 Foreign Registration Card (FRC),956,527,1483,Laukine,MMR015022
 Foreign Passport,239,156,395,Laukine,MMR015022
 None,14917,13801,28718,Laukine,MMR015022
 Child under 10 years,9874,9734,19608,Laukine,MMR015022
 Total,47395,42566,89961,Laukine,MMR015022
