Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),50741,53686,104427,Daik U,MMR007007
 Associate Scrutiny Card (blue),73,54,127,Daik U,MMR007007
 Naturalised Scrutiny Card (green),245,163,408,Daik U,MMR007007
 National Registration Card (3-fold),426,670,1096,Daik U,MMR007007
 Religious card,934,26,960,Daik U,MMR007007
 Temporary Registration Card (white),170,260,430,Daik U,MMR007007
 Foreign Registration Card (FRC),3,2,5,Daik U,MMR007007
 Foreign Passport,17,15,32,Daik U,MMR007007
 None,23138,30849,53987,Daik U,MMR007007
 Child under 10 years,20615,20443,41058,Daik U,MMR007007
 Total,96362,106168,202530,Daik U,MMR007007
