Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29222,31205,60427,Ponnagyun,MMR012002
 Associate Scrutiny Card (blue),6,18,24,Ponnagyun,MMR012002
 Naturalised Scrutiny Card (green),51,26,77,Ponnagyun,MMR012002
 National Registration Card (3-fold),69,132,201,Ponnagyun,MMR012002
 Religious card,365,18,383,Ponnagyun,MMR012002
 Temporary Registration Card (white),77,165,242,Ponnagyun,MMR012002
 Foreign Registration Card (FRC),-,2,2,Ponnagyun,MMR012002
 Foreign Passport,13,17,30,Ponnagyun,MMR012002
 None,16767,25223,41990,Ponnagyun,MMR012002
 Child under 10 years,13409,12968,26377,Ponnagyun,MMR012002
 Total,59979,69774,129753,Ponnagyun,MMR012002
