Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),51657,53279,104936,Phyapon,MMR017023
 Associate Scrutiny Card (blue),76,60,136,Phyapon,MMR017023
 Naturalised Scrutiny Card (green),212,221,433,Phyapon,MMR017023
 National Registration Card (3-fold),220,272,492,Phyapon,MMR017023
 Religious card,854,56,910,Phyapon,MMR017023
 Temporary Registration Card (white),83,67,150,Phyapon,MMR017023
 Foreign Registration Card (FRC),43,53,96,Phyapon,MMR017023
 Foreign Passport,21,21,42,Phyapon,MMR017023
 None,20339,23376,43715,Phyapon,MMR017023
 Child under 10 years,18407,18026,36433,Phyapon,MMR017023
 Total,91912,95431,187343,Phyapon,MMR017023
