Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28365,29195,57560,Waingmaw,MMR001002
 Associate Scrutiny Card (blue),44,44,88,Waingmaw,MMR001002
 Naturalised Scrutiny Card (green),207,171,378,Waingmaw,MMR001002
 National Registration Card (3-fold),303,496,799,Waingmaw,MMR001002
 Religious card,105,32,137,Waingmaw,MMR001002
 Temporary Registration Card (white),224,216,440,Waingmaw,MMR001002
 Foreign Registration Card (FRC),76,69,145,Waingmaw,MMR001002
 Foreign Passport,10,10,20,Waingmaw,MMR001002
 None,11171,11371,22542,Waingmaw,MMR001002
 Child under 10 years,12193,12064,24257,Waingmaw,MMR001002
 Total,52698,53668,106366,Waingmaw,MMR001002
